ArticleTitle,ArticleID,Fund,WinningBid 
Dell Laptop,80039,General Fund,$47.51 
Dell Laptop,80040,General Fund,$51.51 
Dell Laptop,80041,General Fund,$53.51 
Dell Laptop,80042,General Fund,$33.51 
Dell Laptop,80043,General Fund,$53.51 
View Sonic Laptop,80044,General Fund,$21.00 
3 Wooden Bookshelves,80048,Enterprise,$150.00 
3 TV's & Carts,80049,Enterprise,$57.00 
3 Upright Pianos,80050,Enterprise,$103.00 
2000 Pontiac Bonneville,80051,Enterprise,$740.01 
2003 Ford Escape,80052,Enterprise,$1325.00 
2000 Nissan Sentra,80054,Enterprise,$1010.00 
2001 Hyundai Elantra,80055,Enterprise,$1151.35 
1997 Infiniti J30,80056,Enterprise,$1800.01 
2001 Lincoln Towncar,80057,Enterprise,$1125.00 
2001 Ford Excursion,80058,Enterprise,$3530.00 
1997 Ford Taurus,80059,Enterprise,$816.25 
1997 Mercury Mountaineer,80061,Enterprise,$915.00 
2007 Dodge Charger,80062,Enterprise,$5649.77 
Eyeglasses,80063,Enterprise,$17.00 
Sunglasses,80064,Enterprise,$78.00 
Sunglasses,80065,Enterprise,$67.00 
Sunglasses,80067,Enterprise,$98.00 
Sunglasses,80069,Enterprise,$16.00 
Sunglasses w/ Case,80072,Enterprise,$93.00 
Sunglasses w/ Case,80073,Enterprise,$28.00 
Sunglasses w/ Case,80074,Enterprise,$86.00 
Sunglasses w/ Case,80075,Enterprise,$175.00 
Sunglasses w/ Case,80076,Enterprise,$88.00 
1 Pallet of Poster Board,80077,Enterprise,$105.52 
Nike Air Force One Tennis Shoes. Size: 9-1/2,80078,Enterprise,$33.00 
"""Nike"" Air Max 90 - Size 10",80079,Enterprise,$59.01 
16 Simple Mobile Sim Cards,80080,Enterprise,$1.00 
4 Chairs,80082,Enterprise,$16.00 
Cube Cell Phone Chargers,80083,Enterprise,$21.00 
Cell Phone Pouches,80084,Enterprise,$25.00 
T-Mobile My Touch Snap On Covers,80086,Enterprise,$1.00 
4 Cib Security Cameras,80087,Enterprise,$82.01 
USB to Dock Connectors for iPhone,80089,Enterprise,$83.00 
HP Desk Jet F4280,80090,Enterprise,$15.00 
Duraband Mobile Phone Car Chargers,80091,Enterprise,$27.00 
Verifone Credit Card Machine,80092,Enterprise,$80.00 
First Data Credit Card Machine,80093,Enterprise,$29.00 
Swann Digital Video Recorder,80094,Enterprise,$55.00 
2005 Chevrolet Tahoe,80095,Enterprise,$2525.00 
2006 Chevrolet Impala,80096,Enterprise,$2831.00 
2011 Chevrolet Impala,80097,Enterprise,$645.00 
2001 Chevrolet Malibu,80098,Enterprise,$1607.47 
2003 Ford F-450,80099,Enterprise,$6350.00 
2004 Chevrolet Tahoe,80100,Enterprise,$5076.00 
2008 Chevrolet Impala,80101,Enterprise,$831.00 
2005 Chevrolet 2500,80102,Enterprise,$3926.00 
Cubby,80104,Enterprise,$42.00 
Cubby,80105,Enterprise,$49.00 
Cubby,80107,Enterprise,$23.00 
Cubby,80108,Enterprise,$17.00 
Cubby,80109,Enterprise,$47.00 
23 Child Size Chairs,80110,Enterprise,$52.25 
Childrens Play Set,80111,Enterprise,$13.00 
2-Drawer File Cabinet,80112,Enterprise,$28.00 
Assorted Cables & Power Strips,80114,Enterprise,$103.00 
Filing Cart,80115,Enterprise,$11.00 
Battery Pack,80116,Enterprise,$2.00 
"Dell 17"" Monitor",80117,Enterprise,$20.75 
Car/Truck Jack,80119,Enterprise,$205.00 
Greaser,80120,Enterprise,$130.00 
Plastic Trailer,80121,Enterprise,$201.01 
Transmission Jack,80122,Enterprise,$160.00 
Ladies Sunglasses,80123,Enterprise,$12.00 
Men's Watch,80125,Enterprise,$308.00 
Dell Laptop,80126,General Fund,$52.00 
Dell Laptop,80128,General Fund,$146.00 
Dell Laptop,80129,General Fund,$150.00 
Dell Laptop,80130,General Fund,$68.00 
Dell Laptop,80131,General Fund,$52.00 
Dell Laptop,80132,General Fund,$32.00 
Trek 21-Speed Bicycle,80136,General Fund,$106.21 
Schwinn 21-Speed Bicycle,80137,General Fund,$24.01 
"Specialized ""Rock Chopper"" 24-Speed Bicycle",80138,General Fund,$44.00 
Diamondback 24-Speed Bicycle,80139,General Fund,$67.66 
Shimano 15-Speed Bicycle,80140,General Fund,$50.00 
No Rules Kids Bicycle,80141,General Fund,$13.00 
Razor Kids Bicycle,80142,General Fund,$16.06 
Black & Decker Booster Box,80143,Enterprise,$21.00 
Sentry Safe,80144,General Fund,$16.00 
"""Dirt Dobber"" Dirt Bike",80145,General Fund,$60.01 
22 Assorted Bicycles,80146,General Fund,$68.00 
2 Flammable/Hazardous Material Cabinets,80147,Enterprise,$283.75 
2 Flammable/Hazardous Material Cabinets,80148,Enterprise,$188.00 
3 Cafeteria Tables,80149,Enterprise,$37.00 
2 Flammable/Hazardous Material Cabinets,80150,Enterprise,$429.99 
2 Computer Tables,80151,Enterprise,$25.01 
2 Computer Tables,80152,Enterprise,$25.01 
2 Computer Tables,80153,Enterprise,$29.01 
2 Video Carts,80154,Enterprise,$17.00 
"3 RCA 27"" Televisions",80155,Enterprise,$9.00 
TV w/Cart,80156,Enterprise,$1.00 
TV w/Cart,80157,Enterprise,$4.00 
TV Cart,80158,Enterprise,$12.69 
1 Pallet of Poster Board,80160,Enterprise,$42.13 
Monitor w/Cart,80161,Enterprise,$4.50 
Monitor w/Cart,80162,Enterprise,$4.50 
Men's Diamond Watch,80171,Enterprise,$1725.00 
Ladies Ring,80172,Enterprise,$15.00 
Ladies Watch,80173,Enterprise,$22.01 
1 Earring,80174,Enterprise,$2.00 
Ladies Watch,80176,Enterprise,$33.00 
10kt Watch and 2 10k Bracelets,80177,Enterprise,$1184.99 
Diamond 'Rock Star' Pendant,80178,Enterprise,$3725.00 
Radios & Equipment,80180,Enterprise,$1640.00 
Men's Watch,80181,Enterprise,$45.01 
13 Boxes of Law Books,80182,General Fund,$11.15 
3 File Cabinets,80185,General Fund,$27.00 
4 File Cabinets,80186,General Fund,$16.00 
3 File Cabinets,80187,General Fund,$57.00 
2 File Cabinets,80188,General Fund,$56.00 
3 File Cabinets,80189,General Fund,$16.55 
Assorted Parts,80196,Enterprise,$452.00 
1 Lot of Cable,80197,Enterprise,$238.00 
1 Pallet of Service Saddles,80198,Enterprise,$62.00 
Assorted Parts,80199,Enterprise,$370.00 
Assorted Parts,80200,Enterprise,$37.00 
Assorted Parts,80201,Enterprise,$40.00 
Sink,80202,Enterprise,$81.00 
Booth,80204,Enterprise,$34.01 
Warmer,80205,Enterprise,$306.00 
Warmer,80206,Enterprise,$326.00 
Large Wooden Picture Frame,80207,Enterprise,$4.50 
Dell Laptop w/Bag,80208,General Fund,$68.01 
Dell Laptop w/Bag,80209,General Fund,$50.01 
Dell Laptop w/Bag,80210,General Fund,$52.00 
Dell Laptop w/Bag,80211,General Fund,$150.00 
Dell Laptop w/Bag,80212,General Fund,$155.00 
Dell Laptop w/Bag,80213,General Fund,$155.00 
Dell Laptop w/Bag,80214,General Fund,$135.00 
Dell Laptop w/Bag,80215,General Fund,$98.00 
Dell Laptop w/Bag,80216,General Fund,$71.00 
1975 Chevrolet Caprice Convertible,80217,Enterprise,$10900.00 
Dell Laptop w/Bag,80219,General Fund,$50.00 
2008 Chevrolet Impala,80220,Enterprise,$995.02 
Weed Eater,80221,General Fund,$43.00 
2005 Chevrolet Impala,80222,Enterprise,$650.00 
2009 Chevrolet Impala,80223,Enterprise,$765.00 
Pro Force Blower,80224,General Fund,$42.00 
2000 John Deere Turf Tractor,80225,Enterprise,$4875.00 
Stihl Hedge Trimmer,80226,General Fund,$78.25 
Floor Jack,80227,General Fund,$60.01 
Shelving,80228,General Fund,$465.00 
2003 Bobcat Zero Turn Mower,80229,Enterprise,$1975.00 
2003 Bobcat Zero Turn Mower,80230,Enterprise,$2025.00 
Dell Laptop,80231,General Fund,$43.51 
Dell Laptop,80232,General Fund,$37.51 
Dell Laptop,80233,General Fund,$37.51 
Dell Laptop,80234,General Fund,$45.00 
Dell Laptop,80235,General Fund,$42.00 
Dell Laptop,80236,General Fund,$38.60 
Dell Laptop,80237,General Fund,$37.51 
Dell Laptop,80241,General Fund,$2.00 
Lanier Cassette Duplicator,80244,Enterprise,$6.50 
Dell Computer,80245,Enterprise,$2.00 
6 Wheel Dolly,80246,Enterprise,$25.01 
Crystal Springs Water Machine,80247,Enterprise,$52.00 
Ladder,80249,Enterprise,$6.02 
Step Ladder,80252,Enterprise,$16.01 
6 Barriers,80253,Enterprise,$38.00 
9 Stands,80254,Enterprise,$8.17 
"Toshiba 32"" Television",80255,Enterprise,$7.77 
Powermatic Table Saw,80256,Enterprise,$437.23 
Krueger Table,80257,Enterprise,$4.01 
15 DVD's,80264,Enterprise,$17.00 
15 DVD's,80266,Enterprise,$11.00 
10 Stackable Chairs,80269,Enterprise,$57.00 
10 Chairs,80270,Enterprise,$9.51 
10 Stackable Chairs,80271,Enterprise,$16.00 
Metal Desk,80276,Enterprise,$8.00 
End Table,80283,Enterprise,$6.00 
Office Chair,80285,Enterprise,$46.00 
Wooden Table,80289,Enterprise,$18.00 
2003 Toyota Camry,80302,Enterprise,$2455.00 
Hobart 512 Slicer,79916,Enterprise,$103.00 
Assorted Kitchen Ware,79923,Enterprise,$89.56 
Kitchen Ware,79927,Enterprise,$57.00 
Steamer,79933,Enterprise,$205.00 
Table w/Wheels,79953,Enterprise,$30.00 
Panasonic Color High Speed Scanner,79967,General Fund,$248.01 
1 Box of Assorted Pen Lights,79972,General Fund,$21.00 
Vacant Land - 433 Roger Williams Avenue Nashville TN 37207,79975,General Fund,$7601.00 
5 2-Drawer File Cabinets,79993,Enterprise,$11.00 
Kid Size CPU Desk,80002,Enterprise,$17.00 
2 Chairs,80005,Enterprise,$3.00 
Chair,80007,Enterprise,$3.00 
46 Assorted Dell Computers,80013,General Fund,$935.00 
Dell Laptop,80016,General Fund,$43.00 
Hamilton Music Stand,80020,Enterprise,$10.00 
21 Oxygen Regulators,80034,General Fund,$27.00 
2 GM Transmission Cores,80045,Enterprise,$42.00 
2 GM Transmission Cores,80046,Enterprise,$32.00 
GM Transmission Core,80047,Enterprise,$21.00 
Sunglasses,80066,Enterprise,$25.00 
Sunglasses,80068,Enterprise,$33.00 
Sunglasses,80070,Enterprise,$88.00 
Sunglasses w/ Case,80071,Enterprise,$52.00 
Dell Laptop w/Bag,80081,General Fund,$74.35 
T-Mobile G1 Shells,80085,Enterprise,$2.00 
T-Mobile G1 Shells,80088,Enterprise,$1.00 
Cubby,80106,Enterprise,$78.00 
Cloth Bulletin Board w/Stand,80113,Enterprise,$6.00 
Ladies Sunglasses,80124,Enterprise,$11.00 
Dell Laptop,80127,General Fund,$155.00 
Dell Laptop,80133,General Fund,$52.00 
Dell Laptop,80134,General Fund,$52.00 
Dell Laptop,80135,General Fund,$62.00 
3 Apollo Projection Screens,80166,Enterprise,$27.50 
Upright Piano,80167,Enterprise,$47.00 
Ladies Diamond Cluster Ring,80169,Enterprise,$600.00 
Diamond Cluster Earrings,80170,Enterprise,$320.00 
10Kt White Gold Diamond Chain,80175,Enterprise,$775.00 
'Shrek' Diamond Pendant,80183,Enterprise,$1725.00 
1 Lot of Assorted Supplies,80184,General Fund,$13.00 
10kt White Gold Diamond Chain,80190,Enterprise,$965.00 
Necklace w/ 2 Heart Pendants,80191,Enterprise,$68.00 
10kt White Gold Diamond Pendant,80192,Enterprise,$565.00 
10kt White Gold Foxtail Chain,80193,Enterprise,$760.00 
Men's Watch,80194,Enterprise,$43.01 
10kt White Gold Diamond Cross Pendant,80195,Enterprise,$806.00 
Dell Laptop,80238,General Fund,$34.00 
Dell Laptop,80239,General Fund,$35.51 
Dell Laptop,80240,General Fund,$30.00 
4 Laptop Bags,80242,General Fund,$21.00 
3 Metal File Racks,80243,Enterprise,$2.00 
Rubbermaid Cart,80248,Enterprise,$32.00 
Metal Cart,80250,Enterprise,$3.02 
Mariani Cart,80251,Enterprise,$6.01 
Round Table,80258,Enterprise,$27.00 
Round Table,80259,Enterprise,$27.00 
Diamond Cross Pendant and Chain,80260,Enterprise,$283.00 
Diamond Mouse Pendant,80261,Enterprise,$825.00 
Burberry Purse,80263,Enterprise,$41.00 
15 DVD's,80265,Enterprise,$17.00 
15 DVD's,80267,Enterprise,$17.00 
16 DVD's,80268,Enterprise,$13.00 
Table,80272,Enterprise,$3.02 
Table,80273,Enterprise,$5.00 
Table,80274,Enterprise,$1.00 
Table,80275,Enterprise,$5.01 
2 Crowd Control Posts,80277,Enterprise,$11.00 
Chair,80278,Enterprise,$2.00 
Chair,80279,Enterprise,$4.00 
3 Control Posts,80280,Enterprise,$21.00 
2 Rolling Office Chairs,80281,Enterprise,$13.51 
Piano Bench,80282,Enterprise,$29.00 
Desk,80284,Enterprise,$6.00 
Table,80287,Enterprise,$6.12 
Chair,80288,Enterprise,$2.00 
Round Table,80290,Enterprise,$9.00 
Round Table,80291,Enterprise,$9.00 
Round Table,80292,Enterprise,$6.00 
Round Table,80293,Enterprise,$9.00 
Round Table,80294,Enterprise,$1.00 
Round Table,80295,Enterprise,$5.00 
2 Round Tables,80296,Enterprise,$6.45 
2 Round Tables,80297,Enterprise,$6.77 
2 Round Tables,80298,Enterprise,$6.17 
1992 Oldsmobile 88 Regal,80300,Enterprise,$410.00 
1988 Buick LeSabre,80301,Enterprise,$308.00 
2004 Chevrolet Tahoe,80303,Enterprise,$5050.01 
2002 Nissan Altima,80304,Enterprise,$3225.00 
"JVC 42"" LCD Flat Screen TV",80305,Enterprise,$230.01 
"LG 50"" Plasma Flat Screen TV",80306,Enterprise,$360.00 
"Sony 46"" LCD Flat Screen TV",80307,Enterprise,$241.00 
"Samsung 22"" LCD Flat Screen TV",80308,Enterprise,$103.00 
Couch,80310,Enterprise,$62.00 
Wooden Cabinet,80311,Enterprise,$145.00 
Table w/4 Chairs,80312,Enterprise,$126.00 
6 Dining Chairs,80313,Enterprise,$209.33 
"2 JL Audio W7 13"" Subwoofers",80315,Enterprise,$630.89 
Large Mirror,80316,Enterprise,$62.00 
Small Louis Vuitton Duffel Bag,80318,Enterprise,$490.00 
Louis Vuitton Purse,80319,Enterprise,$625.00 
Zebco Fishing Pole,80324,Enterprise,$11.00 
Tiger Fishing Pole w/Zebco Reel,80325,Enterprise,$25.01 
Nautica Suitcase,80326,Enterprise,$41.69 
Nautica Suitcase,80327,Enterprise,$34.57 
iPhone 5,80329,Enterprise,$340.00 
Canon Digital Camera,80330,Enterprise,$32.00 
Fur Coat,80331,Enterprise,$330.00 
Canon Pixma Wireless Printer,80332,Enterprise,$185.00 
Conair Steam Cleaner,80333,Enterprise,$27.00 
King Size Comforter Set,80334,Enterprise,$140.02 
Toshiba Laptop,80335,Enterprise,$155.00 
Apple MacBook,80336,Enterprise,$98.00 
Thruster Kids Bike,80338,General Fund,$29.00 
Roadmaster 18-speed Bike,80339,General Fund,$27.00 
10 Chairs,80340,Enterprise,$130.00 
10 Chairs,80341,Enterprise,$99.00 
10 Chairs,80342,Enterprise,$83.00 
Round Table,80343,Enterprise,$8.00 
Round Table,80344,Enterprise,$11.00 
Bar Stool,80345,Enterprise,$2.00 
"Panasonic 20"" TV/VCR Combo",80346,Enterprise,$11.00 
"Dell 17"" Flat Screen Monitor",80347,General Fund,$18.00 
"Dell 15"" Flat Screen Monitor",80348,General Fund,$21.00 
Assorted Cables,80349,General Fund,$27.00 
"Dell 17"" Flat Screen Monitor",80350,General Fund,$29.00 
"Dell 17"" Flat Screen Monitor",80351,General Fund,$32.00 
"Dell 19"" Flat Screen Monitor",80352,General Fund,$41.00 
"Dell 27"" Flat Screen Monitor",80353,General Fund,$68.00 
Dell Optiplex 780 PC,80354,General Fund,$52.00 
8 Dell Optiplex 780 PC's,80355,General Fund,$455.76 
HP Laser Jet 1320tn,80356,General Fund,$49.00 
HP Laser Jet 1320n,80357,General Fund,$50.00 
Hitachi Multimedia LCD Projector,80358,General Fund,$103.00 
2 Dell Optiplex GX620 PC's,80359,General Fund,$21.00 
5 Dell PC's,80360,General Fund,$165.00 
Dell Laptop,80361,General Fund,$57.00 
Dell Laptop,80362,General Fund,$55.00 
Dell Laptop,80363,General Fund,$57.00 
Canon Image Runner 10231F,80364,General Fund,$47.09 
2 X-Ray View Boxes,80365,General Fund,$28.50 
Toshiba DVD/VCR Combo,80366,General Fund,$37.00 
Ricoh Printer,80367,General Fund,$4.51 
HP Laser Jet 4Plus,80368,General Fund,$1.00 
Dell Optiplex 760,80369,Enterprise,$20.01 
Dell Optiplex 760,80370,Enterprise,$26.01 
Dell Optiplex 760,80371,Enterprise,$24.00 
Dell Optiplex 760,80372,Enterprise,$37.01 
Dell Optiplex 760,80373,Enterprise,$24.00 
Dell Optiplex 760,80374,Enterprise,$42.00 
Dell Optiplex 780,80375,Enterprise,$65.00 
CLC 24 ft. Ladder,80376,Enterprise,$125.01 
Beverage-Air Milk Cooler,80377,Enterprise,$111.01 
Victory Refrigerator,80378,Enterprise,$209.00 
Freezer,80379,Enterprise,$100.00 
Victory Freezer,80380,Enterprise,$108.00 
Assorted Lock Sets,80381,Enterprise,$435.00 
3 Pallets of Paint,80382,Enterprise,$258.00 
"Makita 4-1/2"" Grinder",80383,Enterprise,$18.00 
"Black & Decker 10"" Miter Saw",80384,Enterprise,$91.88 
Newton Universal Sander,80385,Enterprise,$202.00 
Apollo Projector Screen,80386,Enterprise,$23.00 
Apollo Projector Screen,80387,Enterprise,$27.00 
Apollo Projector Screen,80388,Enterprise,$16.00 
6 Projector Screens,80389,Enterprise,$18.00 
Yoga Mat,80421,General Fund,$1.00 
Duo-Fast Finish Nailer,80390,Enterprise,$34.01 
Sunglasses,80391,Enterprise,$32.00 
Sunglasses,80392,Enterprise,$10.00 
Sunglasses,80393,Enterprise,$126.00 
Sunglasses,80394,Enterprise,$5.00 
Sunglasses,80396,Enterprise,$103.00 
Sunglasses,80397,Enterprise,$16.00 
Sunglasses,80398,Enterprise,$21.00 
Eyeglasses,80399,Enterprise,$7.00 
Macro Pick-a-Pak,80400,Enterprise,$26.01 
Milwaukee 12v Reciprocating Saw,80402,Enterprise,$16.52 
Milwaukee 18v Sawzall,80404,Enterprise,$11.01 
Bosch Roto Hammer,80405,Enterprise,$24.00 
2 DeWalt 18v Batteries w/Charger,80406,Enterprise,$54.01 
Datamation Systems Laptop Cart,80407,Enterprise,$58.00 
25 Texas Instruments Calculators,80408,Enterprise,$236.99 
Haier Compact Refrigerator,80409,Enterprise,$33.00 
1 Pallet of Poster Board,80410,Enterprise,$160.00 
1 Pallet of Poster Board,80411,Enterprise,$56.50 
3 AV Carts,80412,General Fund,$146.52 
2 AV Carts,80413,General Fund,$52.00 
4 Televisions,80414,General Fund,$4.00 
10 Film Reels,80416,General Fund,$42.00 
2005 John Deere Zero Turn Mower,80417,Enterprise,$725.01 
1966 Buick LeSabre,80418,Enterprise,$1078.00 
2001 Chevrolet Tahoe,80419,Enterprise,$1826.57 
2004 Chrysler Pacifica,80420,Enterprise,$3025.01 
3 Easels,80422,General Fund,$25.01 
IT Rack,80423,General Fund,$11.50 
8 Cell Phones,80424,Enterprise,$79.35 
13 Cell Phones,80425,Enterprise,$83.05 
Dell Computer,80426,Enterprise,$27.00 
Dell Computer,80427,Enterprise,$34.03 
Dell Computer,80428,Enterprise,$30.03 
Dell Computer,80429,Enterprise,$25.51 
Dell Computer,80430,Enterprise,$25.51 
Dell Computer,80431,Enterprise,$41.00 
Dell Computer,80432,Enterprise,$45.00 
Dell Computer,80433,Enterprise,$27.51 
Dell Computer,80434,Enterprise,$42.00 
Dell Computer,80435,Enterprise,$43.51 
PC Accessories,80436,Enterprise,$57.00 
Dell Laptop,80437,General Fund,$47.00 
Dell Laptop,80438,General Fund,$68.00 
Dell Laptop,80439,General Fund,$47.00 
Dell Laptop,80440,General Fund,$155.00 
Dell Laptop,80442,General Fund,$62.00 
Dell Laptop,80443,General Fund,$62.00 
Dell Laptop,80444,General Fund,$51.00 
Dell Laptop,80445,General Fund,$145.00 
Dell Laptop,80446,General Fund,$47.26 
Dell Laptop,80448,General Fund,$27.00 
Dell Laptop,80449,General Fund,$54.43 
